dia_semana,hour,cantidad_reproducciones,msPlayed,minutosPlayed
Lunes,0,11,1128838,18.813966666666666
Lunes,1,1,180627,3.01045
Lunes,2,3,19815,0.33025000000000004
Lunes,3,0,0,0.0
Lunes,4,1,996,0.0166
Lunes,5,14,1580087,26.334783333333334
Lunes,6,11,1271646,21.1941
Lunes,7,0,0,0.0
Lunes,8,1,251127,4.18545
Lunes,9,9,1091357,18.189283333333332
Lunes,10,28,3187971,53.13285
Lunes,11,82,7427218,123.78696666666667
Lunes,12,43,2723426,45.390433333333334
Lunes,13,17,1953415,32.556916666666666
Lunes,14,79,6019360,100.32266666666666
Lunes,15,17,1559485,25.991416666666666
Lunes,16,22,2330864,38.84773333333334
Lunes,17,6,709652,11.827533333333333
Lunes,18,25,2802570,46.7095
Lunes,19,44,3921644,65.36073333333333
Lunes,20,15,1344476,22.407933333333332
Lunes,21,75,5848962,97.4827
Lunes,22,281,32748922,545.8153666666667
Lunes,23,334,45452455,757.5409166666667
Martes,0,164,22019507,366.99178333333333
Martes,1,30,7431306,123.8551
Martes,2,15,3734070,62.234500000000004
Martes,3,14,3515255,58.587583333333335
Martes,4,11,2779824,46.3304
Martes,5,0,0,0.0
Martes,6,0,0,0.0
Martes,7,0,0,0.0
Martes,8,2,28991,0.48318333333333335
Martes,9,5,633469,10.557816666666668
Martes,10,8,930998,15.516633333333333
Martes,11,40,2219659,36.99431666666667
Martes,12,29,1225301,20.421683333333334
Martes,13,29,2429846,40.49743333333333
Martes,14,88,9379958,156.33263333333332
Martes,15,95,12612318,210.2053
Martes,16,64,6799615,113.32691666666666
Martes,17,16,2655265,44.254416666666664
Martes,18,10,1463849,24.397483333333334
Martes,19,10,1019924,16.998733333333334
Martes,20,24,1886357,31.439283333333332
Martes,21,39,3500711,58.34518333333333
Martes,22,303,34771918,579.5319666666667
Martes,23,354,45499840,758.3306666666666
Miércoles,0,115,16925562,282.0927
Miércoles,1,28,5052456,84.2076
Miércoles,2,3,274919,4.5819833333333335
