artistName,genero_principal,generos_secundarios,canciones_guardadas,reproducciones_totales,msPlayed_totales,minutosPlayed_totales
Charly García,Rock Argentino,"Pop Rock, New Wave, Progressive Rock",29,251.0,33485225.0,558.0870833333333
Babasonicos,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock",21,174.0,18949051.0,315.8175166666667
Luis Alberto Spinetta,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock",16,78.0,8228046.0,137.1341
Serú Girán,Rock Argentino,"Progressive Rock, Art Pop, Symphonic Rock",13,130.0,21777343.0,362.95571666666666
Los Besos,Indie Pop,"Canción de Autor, Art Pop",12,116.0,12830792.0,213.84653333333333
Arcade Fire,Indie Rock,"Art Rock, Alternative Rock",12,76.0,7484063.0,124.73438333333334
Patricio Rey y sus Redonditos de Ricota,Rock Argentino,"Post-Punk, Hard Rock",11,315.0,58716019.0,978.6003166666667
El Mató a un Policía Motorizado,Indie Rock,"Post-Punk, Space Rock, Noise Pop",11,121.0,17127649.0,285.4608166666667
Silvio Rodríguez,Nueva Trova Cubana,"Trova, Canción de Autor",10,155.0,19246779.0,320.77965
Fito Paez,Rock Argentino,"Pop Rock, Piano Rock",10,91.0,10738331.0,178.97218333333333
Perotá Chingó,World Music,"Folk Latinoamericano, Acoustic Indie",10,82.0,7317217.0,121.95361666666666
Usted Señalemelo,Indie Rock,"Art Rock, Synth-Pop, Dance Rock",9,128.0,16657142.0,277.61903333333333
Gabo Ferro,Canción de Autor,"Rock de Cámara, Experimental Folk",9,70.0,8702129.0,145.03548333333333
Bad Bunny,Urbano Latino,"Reggaeton, Trap Latino, Synth-Pop, Mambo",8,432.0,53734335.0,895.57225
Mac DeMarco,Indie Rock,"Jangle Pop, Bedroom Pop, Psychedelic Pop",8,342.0,58761629.0,979.3604833333334
Indio Solari,Rock Argentino,"Hard Rock, Art Rock",8,157.0,28670120.0,477.8353333333333
El Plan De La Mariposa,Rock Latino,"Folk Rock, Progressive Rock",8,111.0,15480290.0,258.00483333333335
Martín Buscaglia,MPB Latino / Fusion,"Funk, Candombe Fusion, Pop Experimental",8,91.0,11087211.0,184.78685
Duratierra,Folklore Argentino,"Canción Latinoamericana, Fusion Folk",8,68.0,6945810.0,115.76350000000001
Marilina Bertoldi,Rock Argentino,"Alternative Rock, Funk Rock, Hard Rock",8,41.0,3057354.0,50.9559
Gauchito Club,Indie Tropical,"Cumbia Pop, Funk Latino, Indie Rock",7,100.0,15360413.0,256.00688333333335
Intoxicados,Rock Nacional,Rock Stone / Blues Rock,7,81.0,14749830.0,245.8305
Ainda,Indie Pop,"Indie Folk, Canción Pop / Canción Urbana",7,64.0,5533428.0,92.2238
Rosario Bléfari,Indie Rock,Indie Pop / Rock Argentino / Pop Experimental,7,61.0,6033649.0,100.56081666666667
Red Hot Chili Peppers,Alternative Rock,"Funk Rock, Hard Rock",7,47.0,5755002.0,95.91669999999999
Milo j,Urbano / Trap,Trap Argentino / R&B,6,287.0,36952223.0,615.8703833333333
Adrián Berra,Canción de Autor,"Indie Folk, Canción Platense",6,106.0,10990241.0,183.17068333333333
WOS,Alternative Hip-Hop,"Rap Rock, Urbano Latino, Fusion",6,87.0,7436964.0,123.9494
Gustavo Cerati,Rock Argentino,"Art Rock, Alternative Rock, Electronic Fusion",6,82.0,11721451.0,195.35751666666667
Sui Generis,Rock Argentino,"Folk Rock, Progressive Rock",6,42.0,4028761.0,67.14601666666667
The Velvet Underground,Proto-Punk,"Art Rock, Garage Rock, Psychedelic Rock",6,42.0,3387514.0,56.45856666666667
Invisible,Rock Nacional,Rock Progresivo / Jazz Rock,6,41.0,2880383.0,48.00638333333333
Bob Marley & The Wailers,Reggae,Roots Reggae,6,38.0,2363408.0,39.39013333333333
José González,Indie Folk,"Acoustic, Singer-Songwriter",6,38.0,2815833.0,46.930550000000004
Fleetwood Mac,Classic Rock,Soft Rock / Pop Rock,5,83.0,9504188.0,158.40313333333333
Los Piojos,Rock Argentino,"Murga Rock, Candombe Rock, Blues Rock",5,81.0,12250664.0,204.17773333333332
Las Pelotas,Rock Argentino,"Reggae Rock, Post-Punk",5,59.0,9002732.0,150.04553333333334
Kali Uchis,Neo-Soul,"Bedroom Pop, R&B, Reggaeton Pop",5,57.0,6713845.0,111.89741666666667
Natalia Lafourcade,Folk Latinoamericano,"Bolero, Son Jarocho, Canción de Autor",5,52.0,4198983.0,69.98305
Pescado Rabioso,Rock Argentino,"Hard Rock, Blues Rock, Proto-Punk, Folk Progresivo",5,47.0,4706492.0,78.44153333333334
The Flaming Lips,Neo-Psychedelia,"Indie Rock, Space Rock, Experimental",5,44.0,6213627.0,103.56045
Lisandro Aristimuño,Canción de Autor,"Folktronica, Indie Folk",5,41.0,4371282.0,72.8547
Las Ligas Menores,Indie Rock,"Lo-Fi, Noise Pop, Post-Punk",5,30.0,2533872.0,42.2312
Axel Fiks,Indie Pop,"R&B Urbano, Bedroom Pop",5,28.0,2278545.0,37.97575
NAFTA,Neo-Soul,"R&B, Funk Calmo",5,28.0,3414742.0,56.912366666666664
ROSALÍA,Nuevo Flamenco,"Latin Alternative, Bolero Fusion, Experimental Pop",4,428.0,55579912.0,926.3318666666667
El Kuelgue,Latin Fusion,"Indie Pop, Funk, Ska, Candombe Rock",4,194.0,28418099.0,473.6349833333333
Javiera Mena,Pop / Synthpop,Synthpop / Pop Electrónico,4,141.0,28271232.0,471.1872
Illya Kuryaki & The Valderramas,Funk / Hip-Hop,"Latin Funk, Rap Rock, R&B",4,84.0,13369948.0,222.83246666666668
Los Fundamentalistas del Aire Acondicionado,Rock Nacional,Rock Argentino / Hard Rock,4,70.0,16366037.0,272.76728333333335
Juana Molina,Folktronica,"Experimental Electronic, Art Pop",4,63.0,8985903.0,149.76505
Suarez,Indie Rock,"Experimental, Dream Pop, Lo-Fi",4,56.0,9110534.0,151.84223333333333
Divididos,Rock Argentino,"Hard Rock, Funk Rock, Folklore Rock",4,52.0,7217333.0,120.28888333333333
Joni Mitchell,Folk,"Singer-Songwriter, Vocal Jazz",4,45.0,5809697.0,96.82828333333333
Virus,Synth-Pop,"New Wave, Pop Rock",4,41.0,4281217.0,71.35361666666667
Taylor Swift,Indie Pop / Synth-Pop,"Folk-Pop, Chamber Pop",4,40.0,4628353.0,77.13921666666667
Gustavo Pena - El Príncipe,Canción de Autor,"Candombe Beat, Folk Uruguayo",4,37.0,2275425.0,37.92375
Pearl Jam,Grunge,"Alternative Rock, Classic Rock Revival",4,35.0,5941177.0,99.01961666666666
Dillom,Urbano Latino,"Alternative Hip-Hop, Industrial Rap, Post-Punk",4,32.0,2761613.0,46.02688333333333
La Maquina De Hacer Pájaros,Rock Progresivo,"Symphonic Rock, Fusion",4,32.0,4518403.0,75.30671666666666
Mac Miller,Hip-Hop / Rap,Conscious Hip-Hop / Alternative Rap / Jazz Rap,4,30.0,4880511.0,81.34185
The Smiths,Indie Pop,"Jangle Pop, Post-Punk",4,29.0,2569155.0,42.81925
