Fecha,genero_principal,generos_secundarios,cantidad_reproducciones,msPlayed,minutosPlayed
2025-08-19,Punk Rock,"Pop Punk, Alternative Rock",1,518040,8.634
2025-08-19,Indie Rock,"Alternative Rock, Garage Rock",1,7603,0.12671666666666667
2025-08-20,Indie Pop,Pop Urbano,1,63466,1.0577666666666667
2025-08-21,Indie Rock,"Art Rock, Alternative Rock",2,276806,4.613433333333334
2025-08-21,Art Pop,"Indie Folk, Bedroom Pop",1,266432,4.440533333333334
2025-08-21,Rock Argentino,"Art Rock, Alternative Rock, Electronic Fusion",1,265690,4.428166666666667
2025-08-21,Alternative Rock,"Garage Rock Revival, Southern Rock",1,203346,3.3891
2025-08-21,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock",1,201800,3.3633333333333333
2025-08-21,Indie Pop,"Canción de Autor, Art Pop",1,196162,3.2693666666666665
2025-08-21,Indie Pop,"R&B Urbano, Bedroom Pop",1,180389,3.006483333333333
2025-08-21,MPB,"Pop Brasileño, Acoustic Fusion",1,158187,2.63645
2025-08-21,MPB Latino / Fusion,"Funk, Candombe Fusion, Pop Experimental",2,157683,2.62805
2025-08-21,Indie Tropical,"Cumbia Pop, Funk Latino, Indie Rock",1,50130,0.8355
2025-08-21,Art Pop,"Experimental Electronic, House",1,22928,0.3821333333333333
2025-08-21,World Music,"Folk Latinoamericano, Acoustic Indie",1,9360,0.156
2025-08-21,Indie Pop,"Synth-Pop, Bedroom Pop",1,3827,0.06378333333333333
2025-08-21,Indie Pop,"Indie Folk, Canción Pop / Canción Urbana",1,3453,0.05755
2025-08-21,Minimal Wave,"Post-Punk, Synth-Pop",1,3425,0.05708333333333333
2025-08-21,Reggae Fusion,"Dub, Ska",1,2851,0.047516666666666665
2025-08-21,Indie Folk,"Canción Latinoamericana, Avant-Garde Pop",1,2810,0.04683333333333333
2025-08-21,Classic Rock,"Blues Rock, Roots Rock",1,2763,0.04605
2025-08-21,Canción de Autor,"Rock de Cámara, Experimental Folk",1,2733,0.04555
2025-08-21,Canción de Autor,"Indie Folk, Canción Platense",1,2703,0.04505
2025-08-21,Alternative Pop,"Hip-Hop, Synth-Pop, Reggaeton / Dub",1,2614,0.04356666666666666
2025-08-21,Rock Argentino,"Alternative Rock, Post-Punk, Shoegaze",1,2182,0.036366666666666665
2025-08-21,Neo-Soul,"R&B, Funk Calmo",1,2056,0.03426666666666667
2025-08-21,Canción de Autor,"Candombe Beat, Folk Uruguayo",1,2005,0.033416666666666664
2025-08-21,Alternative Rock,"Art Rock, Experimental / Electronic Rock",1,548,0.009133333333333334
2025-08-22,Latin Alternative,"Flamenco Pop, Urbano Latino, Rumba",1,26695,0.4449166666666667
2025-08-22,Indie Rock,"Lo-Fi, Noise Pop, Post-Punk",1,2626,0.04376666666666667
2025-08-22,Rock Latino,"Folk Rock, Progressive Rock",1,188,0.0031333333333333335
2025-08-23,Hard Rock,"Blues Rock, Folk Rock, Heavy Metal Primigenio",17,3120608,52.010133333333336
2025-08-23,Indie Pop,"Indie Folk, Canción Pop / Canción Urbana",11,1639308,27.3218
