endTime,artistName,trackName,msPlayed,fecha,año_mes,hora,minutesPlayed
2025-08-19 19:46:00,Arctic Monkeys,Brick By Brick,7603,2025-08-19,2025-08,19,0.13
2025-08-19 22:44:00,Green Day,Jesus of Suburbia,518040,2025-08-19,2025-08,22,8.63
2025-08-20 12:09:00,MissLupe,Nuestros Besos,63466,2025-08-20,2025-08,12,1.06
2025-08-21 12:08:00,Gauchito Club,La Pibita,50130,2025-08-21,2025-08,12,0.84
2025-08-21 14:10:00,Radiohead,Let Down,548,2025-08-21,2025-08,14,0.01
2025-08-21 23:00:00,Martín Buscaglia,Altas Horas,154733,2025-08-21,2025-08,23,2.58
2025-08-21 23:03:00,Axel Fiks,Mili,180389,2025-08-21,2025-08,23,3.01
2025-08-21 23:03:00,The Rolling Stones,Waiting On A Friend - Remastered 2009,2763,2025-08-21,2025-08,23,0.05
2025-08-21 23:03:00,Planta & Canta,El Jardinero,2851,2025-08-21,2025-08,23,0.05
2025-08-21 23:03:00,Perotá Chingó,Momentánea,9360,2025-08-21,2025-08,23,0.16
2025-08-21 23:08:00,Lorde,Stoned at the Nail Salon,266432,2025-08-21,2025-08,23,4.44
2025-08-21 23:20:00,Tribalistas,Já Sei Namorar - 2004 Digital Remaster,158187,2025-08-21,2025-08,23,2.64
2025-08-21 23:23:00,Björk,Violently Happy - Domestic Mix,22928,2025-08-21,2025-08,23,0.38
2025-08-21 23:23:00,Gorillaz,Tormenta (feat. Bad Bunny),2614,2025-08-21,2025-08,23,0.04
2025-08-21 23:23:00,Kings of Leon,Sex on Fire,203346,2025-08-21,2025-08,23,3.39
2025-08-21 23:24:00,Arcade Fire,Everything Now (Todo Ya) - Remix por Bomba Estéreo,3113,2025-08-21,2025-08,23,0.05
2025-08-21 23:24:00,Soda Stereo,Pasos - MTV Unplugged,2182,2025-08-21,2025-08,23,0.04
2025-08-21 23:24:00,Ainda,Maremagnum,3453,2025-08-21,2025-08,23,0.06
2025-08-21 23:24:00,NAFTA,Vos No,2056,2025-08-21,2025-08,23,0.03
2025-08-21 23:24:00,Gabo Ferro,La cabeza de la novia cayó sin su velo,2733,2025-08-21,2025-08,23,0.05
2025-08-21 23:27:00,Los Besos,Mi postura,196162,2025-08-21,2025-08,23,3.27
2025-08-21 23:31:00,Feli Colina,Susurrito,2810,2025-08-21,2025-08,23,0.05
2025-08-21 23:31:00,Gustavo Pena - El Príncipe,Une,2005,2025-08-21,2025-08,23,0.03
2025-08-21 23:31:00,Gustavo Cerati,Sulky,265690,2025-08-21,2025-08,23,4.43
2025-08-21 23:32:00,Adrián Berra,Caminata,2703,2025-08-21,2025-08,23,0.05
2025-08-21 23:32:00,Martín Buscaglia,Mil Cosas,2950,2025-08-21,2025-08,23,0.05
2025-08-21 23:32:00,Karen Marks,Cold Café,3425,2025-08-21,2025-08,23,0.06
2025-08-21 23:32:00,Lara Pedrosa,Melodía de Extrañar.,3827,2025-08-21,2025-08,23,0.06
2025-08-21 23:35:00,Luis Alberto Spinetta,Será Que La Canción Llegó Hasta El Sol,201800,2025-08-21,2025-08,23,3.36
2025-08-21 23:40:00,Arcade Fire,Unconditional I (Lookout Kid),273693,2025-08-21,2025-08,23,4.56
2025-08-22 00:01:00,Las Ligas Menores,Todo Lo Que Pienso Hoy,2626,2025-08-22,2025-08,0,0.04
2025-08-22 12:08:00,C. Tangana,Me Maten - Live at NPR's Tiny Desk,26695,2025-08-22,2025-08,12,0.44
2025-08-22 14:10:00,El Plan De La Mariposa,Llega llega llega,188,2025-08-22,2025-08,14,0.0
2025-08-23 00:30:00,Lou Reed,Walk On the Wild Side,63078,2025-08-23,2025-08,0,1.05
2025-08-23 00:31:00,Los Piojos,Sudestada,28062,2025-08-23,2025-08,0,0.47
2025-08-23 00:31:00,XENEZE,When i Wake,32533,2025-08-23,2025-08,0,0.54
2025-08-23 00:32:00,Jeites,Bienvenida,52120,2025-08-23,2025-08,0,0.87
2025-08-23 12:08:00,Bad Bunny,NUEVAYoL,39426,2025-08-23,2025-08,12,0.66
2025-08-23 14:10:00,Fito Paez,Solo La La La,7315,2025-08-23,2025-08,14,0.12
2025-08-23 14:13:00,Martín Buscaglia,Altas Horas,154733,2025-08-23,2025-08,14,2.58
2025-08-23 14:17:00,Pink Floyd,Breathe (In the Air),3271,2025-08-23,2025-08,14,0.05
2025-08-23 14:17:00,Pescado Rabioso,"A Starosta, el Idiota",49044,2025-08-23,2025-08,14,0.82
2025-08-23 14:17:00,Wolf Alice,Smile,196804,2025-08-23,2025-08,14,3.28
2025-08-23 14:20:00,Usted Señalemelo,"Nena, dime algo.",156738,2025-08-23,2025-08,14,2.61
2025-08-23 14:23:00,Los Mundos Posibles,La Guerra del Japón,170326,2025-08-23,2025-08,14,2.84
2025-08-23 14:28:00,Daft Punk,Digital Love,301373,2025-08-23,2025-08,14,5.02
2025-08-23 14:31:00,Los Besos,Chica de los trenes,202250,2025-08-23,2025-08,14,3.37
2025-08-23 14:35:00,Suarez,Porvenir,223706,2025-08-23,2025-08,14,3.73
2025-08-23 14:38:00,Charli xcx,Von dutch,164284,2025-08-23,2025-08,14,2.74
2025-08-23 14:43:00,José González,Head On,285386,2025-08-23,2025-08,14,4.76
2025-08-23 14:46:00,Kevin Kaarl,Vámonos a Marte,179094,2025-08-23,2025-08,14,2.98
2025-08-23 15:18:00,Bob Dylan,Queen Jane Approximately,137720,2025-08-23,2025-08,15,2.3
2025-08-23 20:57:00,Viejas Locas,Eva,2494,2025-08-23,2025-08,20,0.04
2025-08-23 20:57:00,Jeff Buckley,"Mama, You Been on My Mind - Studio Outtake - 1993",13093,2025-08-23,2025-08,20,0.22
2025-08-23 20:57:00,Juana Molina,¡Que llueva! - Remastered,2556,2025-08-23,2025-08,20,0.04
2025-08-23 20:57:00,Kings of Leon,Sex on Fire,203346,2025-08-23,2025-08,20,3.39
2025-08-23 20:59:00,Babasonicos,Soy Rock,9817,2025-08-23,2025-08,20,0.16
2025-08-23 20:59:00,Duratierra,A los amores,127427,2025-08-23,2025-08,20,2.12
2025-08-23 21:00:00,Mora y los Metegoles,Adscriptos,4612,2025-08-23,2025-08,21,0.08
2025-08-23 21:00:00,El Mató a un Policía Motorizado,El Magnetismo,2220,2025-08-23,2025-08,21,0.04
2025-08-23 21:00:00,Bomba Estéreo,Siembra,3000,2025-08-23,2025-08,21,0.05
2025-08-23 21:03:00,Los Besos,La Cascada de Tu Pelo Enredado,2463,2025-08-23,2025-08,21,0.04
