Source,Target,artistName,trackName,msPlayed,endTime
Indie Rock,2. Martes,Arctic Monkeys,Brick By Brick,7603,2025-08-19 19:46:00
Indie Pop,3. Miércoles,MissLupe,Nuestros Besos,63466,2025-08-20 12:09:00
Indie Pop,4. Jueves,Axel Fiks,Mili,180389,2025-08-21 23:03:00
Indie Rock,4. Jueves,Arcade Fire,Everything Now (Todo Ya) - Remix por Bomba Estéreo,3113,2025-08-21 23:24:00
Rock Argentino,4. Jueves,Soda Stereo,Pasos - MTV Unplugged,2182,2025-08-21 23:24:00
Indie Pop,4. Jueves,Ainda,Maremagnum,3453,2025-08-21 23:24:00
Indie Pop,4. Jueves,Los Besos,Mi postura,196162,2025-08-21 23:27:00
Indie Folk,4. Jueves,Feli Colina,Susurrito,2810,2025-08-21 23:31:00
Rock Argentino,4. Jueves,Gustavo Cerati,Sulky,265690,2025-08-21 23:31:00
Indie Pop,4. Jueves,Lara Pedrosa,Melodía de Extrañar.,3827,2025-08-21 23:32:00
Rock Argentino,4. Jueves,Luis Alberto Spinetta,Será Que La Canción Llegó Hasta El Sol,201800,2025-08-21 23:35:00
Indie Rock,4. Jueves,Arcade Fire,Unconditional I (Lookout Kid),273693,2025-08-21 23:40:00
Indie Rock,5. Viernes,Las Ligas Menores,Todo Lo Que Pienso Hoy,2626,2025-08-22 00:01:00
Rock Argentino,6. Sábado,Los Piojos,Sudestada,28062,2025-08-23 00:31:00
Indie Rock,6. Sábado,XENEZE,When i Wake,32533,2025-08-23 00:31:00
Urbano Latino,6. Sábado,Bad Bunny,NUEVAYoL,39426,2025-08-23 12:08:00
Rock Argentino,6. Sábado,Fito Paez,Solo La La La,7315,2025-08-23 14:10:00
Rock Argentino,6. Sábado,Pescado Rabioso,"A Starosta, el Idiota",49044,2025-08-23 14:17:00
Indie Rock,6. Sábado,Usted Señalemelo,"Nena, dime algo.",156738,2025-08-23 14:20:00
Indie Pop,6. Sábado,Los Mundos Posibles,La Guerra del Japón,170326,2025-08-23 14:23:00
Indie Pop,6. Sábado,Los Besos,Chica de los trenes,202250,2025-08-23 14:31:00
Indie Rock,6. Sábado,Suarez,Porvenir,223706,2025-08-23 14:35:00
Indie Folk,6. Sábado,José González,Head On,285386,2025-08-23 14:43:00
Indie Folk,6. Sábado,Kevin Kaarl,Vámonos a Marte,179094,2025-08-23 14:46:00
Rock Argentino,6. Sábado,Babasonicos,Soy Rock,9817,2025-08-23 20:59:00
Indie Rock,6. Sábado,Mora y los Metegoles,Adscriptos,4612,2025-08-23 21:00:00
