genero_principal,horas_escuchadas,reproducciones,artistas_unicos,pct_tiempo
Indie / Unmapped,178.88713305555555,4790,558,39.151430413738574
Rock Argentino,67.0166275,1679,19,14.667331201036337
Indie Rock,38.373174444444444,955,16,8.398394246439965
Urbano Latino,22.58058861111111,885,5,4.9420119189601985
Nuevo Flamenco,15.438864444444445,428,1,3.3789664837218276
Hyperpop,10.603163333333333,433,1,2.3206197355825533
Indie Pop,7.934600555555556,291,10,1.7365752148041214
Latin Fusion,7.893916388888889,194,1,1.7276710343134187
Canción de Autor,7.784061111111111,279,6,1.7036279900204405
Rock Alternativo,5.591136388888889,126,1,1.22368212584257
Nueva Trova Cubana,5.3463275,155,1,1.1701029890187866
Freak Folk,4.951895555555556,137,1,1.0837771892695314
Rock Latino,4.300080555555556,111,1,0.94112025705068
Indie Tropical,4.266781388888889,100,1,0.9338323656058516
Indie Folk,3.7927697222222223,166,5,0.8300896622274215
Funk / Hip-Hop,3.7138744444444445,84,1,0.8128225568457843
Britpop,3.581081388888889,92,1,0.7837593258285125
Alternative Rock,3.5572169444444444,126,8,0.7785363278405072
Neo-Soul,3.3361594444444447,96,3,0.7301554455441982
MPB Latino / Fusion,3.0797808333333334,91,1,0.6740441468664429
Electro-Pop,3.020722777777778,93,1,0.661118637284175
Rock Stone,2.966683333333333,60,1,0.6492915063294477
Folktronica,2.496084166666667,63,1,0.5462956663726892
Pop / R&B,2.3618405555555557,80,2,0.5169149652058066
Hard Rock,2.2457355555555556,51,1,0.4915040999828987
Alternative Hip-Hop,2.0658233333333333,87,1,0.4521283174512011
World Music,2.032560277777778,82,1,0.44484832932300405
Grunge,2.0059808333333335,40,2,0.4390311235138008
Folklore Argentino,1.9293916666666666,68,1,0.4222687360911962
Electro-Tropical,1.7883880555555556,73,1,0.3914085340509072
Rock Uruguayo,1.7818583333333333,35,1,0.38997943201971197
Neo-Psychedelia,1.7260075,44,1,0.3777558585438029
Folk,1.6138047222222223,45,1,0.35319903787503754
Classic Rock,1.5002119444444444,40,3,0.3283380003107049
Pop Rock,1.4848955555555556,64,3,0.3249858389588493
Folk Rock,1.3834466666666667,42,2,0.3027826259829282
French House,1.2919105555555557,34,1,0.2827489342170821
Indie Pop / Synth-Pop,1.285653611111111,40,1,0.2813795326238259
Rock Progresivo,1.2551119444444445,32,1,0.2746951505959232
Alternative R&B,1.2031394444444445,34,1,0.2633203933262313
Synth-Pop,1.2005163888888888,46,2,0.26274630856507175
Folk Latinoamericano,1.1663841666666668,52,1,0.2552760936850302
Rock en Español,1.0949002777777779,21,1,0.23963105284988204
Art Pop,1.082516388888889,37,2,0.23692070160324297
Techno,1.0541297222222221,35,1,0.23070796519400755
Punk Rock,0.9723066666666667,20,2,0.2128000832177901
Proto-Punk,0.9409761111111111,42,1,0.20594304411886197
MPB,0.8696666666666667,31,2,0.19033618238251798
Reggae,0.6565022222222222,38,1,0.14368278271761276
Glam Rock,0.6101833333333333,15,1,0.13354538085868847
Dance-Pop,0.5957347222222222,28,1,0.1303831422849608
Acoustic Folk,0.5772777777777778,20,1,0.12634363556514272
Indie Electronic,0.5251780555555556,23,1,0.11494103430301081
New Wave,0.5051455555555555,18,2,0.11055669979908844
Tropicalismo,0.44178694444444444,11,1,0.09668996600075866
Flamenco,0.383935,9,1,0.08402842719398089
Latin Alternative,0.3435213888888889,15,1,0.07518346078327111
Dream Pop,0.32846055555555553,10,1,0.07188723059526876
Hardcore Punk,0.32185694444444446,10,1,0.0704419571623508
Lo-Fi House,0.2742538888888889,9,1,0.06002350120506368
Contemporary R&B,0.27318611111111113,10,1,0.05978980621174619
Post-Punk,0.2706286111111111,10,1,0.05923006901000993
Alternative Pop,0.24343972222222224,12,1,0.0532794795339652
Electronic,0.23245472222222224,5,1,0.05087529061467971
Power Trio / Rock,0.22828833333333334,10,1,0.04996343025964093
Hip-Hop,0.21480194444444445,13,1,0.04701178467676957
Tango Canción,0.19001194444444447,11,1,0.04158621860402605
Música Cubana,0.17879444444444442,9,1,0.0391311444845827
Krautrock / Garage Rock,0.17279805555555555,9,1,0.03781876836055963
Rock and Roll,0.17099194444444446,8,1,0.03742348093950076
Candombe Beat,0.16275444444444445,13,1,0.03562061282638156
Low Rock,0.16248416666666668,5,1,0.035561459541132365
Bedroom Pop,0.15655527777777778,12,1,0.03426385653973577
Electro Pop,0.13770888888888888,8,1,0.030139115589784733
Electro Cumbia,0.12105166666666665,13,1,0.02649349801192921
Progressive Rock,0.11314333333333335,10,1,0.02476267166964281
Trova Rosarina,0.10272305555555557,8,1,0.022482078463524433
Garage Rock,0.09649083333333333,5,1,0.021118087602423702
Minimal Wave,0.066505,7,1,0.014555355855901906
PBR&B / Pop,0.06344583333333334,4,1,0.013885823347731897
Reggae Fusion,0.05841333333333333,10,1,0.012784404983025086
Worldbeat,0.025044444444444446,2,1,0.005481254057623554
Piano Pop,0.0232975,2,1,0.005098915916891582
Candombe / Trova,0.019713611111111112,2,1,0.004314542138592346
Soul,0.009268055555555555,1,1,0.002028416610831964
MPB (Música Popular Brasileña),0.001799722222222222,3,1,0.00039388914196254434
Deep House,0.0013366666666666668,2,1,0.00029254430485009476
