artist,album,track,uri,genero_principal,generos_secundarios
The Rolling Stones,Tattoo You,Heaven - Remastered,spotify:track:0QVJsWtmgj9SWZaLYiX2i3,Classic Rock,"Blues Rock, Roots Rock"
Los Besos,Matemática sentimental,Hoy no,spotify:track:0KleRPmITxRwrf1YOwAYVy,Indie Pop,"Canción de Autor, Art Pop"
WOS,TERRAZA,TERRAZA,spotify:track:6cLWKCBNawunqBHmyzdG7v,Alternative Hip-Hop,"Rap Rock, Urbano Latino, Fusion"
The Smile,Wall Of Eyes,Friend Of A Friend,spotify:track:4lTLmo9aTyMJ1SoHa63WA6,Indie / Unmapped,Alternative / Various
Los Besos,Matemática sentimental,Limeña,spotify:track:3vM93cAeHAiQvtmUc8OKTi,Indie Pop,"Canción de Autor, Art Pop"
Arcade Fire,WE,The Lightning I,spotify:track:6bkqSi0jMZr6bX6MGRzdrt,Indie Rock,"Art Rock, Alternative Rock"
Leo Maslíah,Leo Maslíah y Pico,Biromes y Servilletas,spotify:track:0ouytTt7tdcsXhFaQhKyTR,Candombe / Trova,"Canción de Autor, Vanguardia Uruguaya"
Juana Aguirre,Claroscuro,Configuraciones Onduladas,spotify:track:4EQYYZtNhlZTcyx1SiO9cf,Indie / Unmapped,Alternative / Various
Perotá Chingó,Aguas,Tres,spotify:track:2P0768P1GwlKhU8MjjUzKb,World Music,"Folk Latinoamericano, Acoustic Indie"
Feli Colina,LXS INFERNALES (Del Valle Encantado),AVENIDO,spotify:track:2rv51UoqpCzivjCuPYRpqa,Indie Folk,"Canción Latinoamericana, Avant-Garde Pop"
Serú Girán,Peperina,Lo Que Dice La Lluvia,spotify:track:0miLL2oGCtNeUamYZfNyX2,Rock Argentino,"Progressive Rock, Art Pop, Symphonic Rock"
ROSALÍA,MOTOMAMI,DELIRIO DE GRANDEZA,spotify:track:6lKZ5I0yW3IpUFHEKJCWlx,Nuevo Flamenco,"Latin Alternative, Bolero Fusion, Experimental Pop"
Charly García,Filosofía Barata y Zapatos de Goma,Reloj de Plastilina,spotify:track:4MMlauJ06Zm1apM1aPe7HZ,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Fleetwood Mac,Tango In the Night,Everywhere - 2017 Remaster,spotify:track:254bXAqt3zP6P50BdQvEsq,Indie / Unmapped,Alternative / Various
Emmanuel Horvilleur,PITADA,Pitada,spotify:track:2IAfP9ex8Vv70VESb0D3C0,Pop Rock,"Funk Pop, Electro Funk"
Marilina Bertoldi,Mojigata,Sushi en Lata,spotify:track:0ay8DzY6bSJ7Ok85oR34Mn,Rock Argentino,"Alternative Rock, Funk Rock, Hard Rock"
Charli xcx,Brat and it’s the same but there’s three more songs so it’s not,360,spotify:track:5wmv111MUsMc9yLb4gKwa6,Hyperpop,"Dance-Pop, Synth-Pop, Electronic"
Charly García,Piano Bar,Tuve Tu Amor,spotify:track:6caEkrittbfy0jsKjPT1bq,Rock Argentino,"Pop Rock, New Wave, Progressive Rock"
Babasonicos,Romantisísmico,Celofán,spotify:track:1sNz5k4POwNzx9AZUdyjNK,Rock Argentino,"Alternative Rock, Electro-Rock, Pop Rock"
Helado Negro,This Is How You Smile,Running,spotify:track:2O6IG0D422OZTuxZeB3Juh,Indie / Unmapped,Alternative / Various
The Magic Numbers,The Magic Numbers,Love Me Like You,spotify:track:2ijit5crURH5jhIc4YoKgA,Indie / Unmapped,Alternative / Various
Bandalos Chinos,En el Aire,Veccar,spotify:track:0WQbW3BDhSSQIAQd7H531u,Indie / Unmapped,Alternative / Various
Radiohead,Amnesiac,Pyramid Song,spotify:track:55q3Ro66yXWi9rsEddeEN4,Alternative Rock,"Art Rock, Experimental / Electronic Rock"
WOS,LIVE SET,ALMA DINAMITA - Live Set,spotify:track:22e93nNiMUPVqeNHh7FnrS,Alternative Hip-Hop,"Rap Rock, Urbano Latino, Fusion"
Callejeros,Disco Escultura,Más Allá,spotify:track:0mt49a0PLxlLvOeM6tKXBF,Indie / Unmapped,Alternative / Various
Lost Frequencies,Reality (feat. Janieck Devy),Reality (feat. Janieck Devy) - Radio Edit,spotify:track:3GeeyHU1Q6xjyeXjRAjBoo,Deep House,"Tropical House, Dance-Pop"
SZA,Good Days,Good Days,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,Contemporary R&B,"Neo-Soul, Alternative R&B"
Luis Alberto Spinetta,Silver Sorgo,El Mar Es De Llanto,spotify:track:578ViltE7TmiVDVCG8DzaY,Rock Argentino,"Art Rock, Jazz Rock, Folk Rock"
TOCH,Voy a Encenderme,Cumbia de la Soledad,spotify:track:0MmfFVV2wMDO0n5T2wspwW,Indie / Unmapped,Alternative / Various
Los Besos,Copia Viva,La Cascada de Tu Pelo Enredado,spotify:track:0WatuYSspFciyN3u60zJ76,Indie Pop,"Canción de Autor, Art Pop"
Los Visitantes,Salud Universal,Playas Oscuras,spotify:track:6yRknu7uvnsgLz1Riy5rZr,Indie / Unmapped,Alternative / Various
Taylor Swift,folklore,august,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Indie Pop / Synth-Pop,"Folk-Pop, Chamber Pop"
