fecha_inicio_semana,artistName,reproducciones,minutos_totales
2025-08-18,Led Zeppelin,17,52.01
2025-08-25,Gauchito Club,17,48.62
2025-09-01,Bad Bunny,59,125.81
2025-09-08,Charli xcx,48,56.14
2025-09-15,Charli xcx,42,73.03
2025-09-22,Charli xcx,43,47.9
2025-09-29,Bad Bunny,23,47.0
2025-10-06,CA7RIEL & Paco Amoroso,38,36.54
2025-10-13,Bad Bunny,37,79.47
2025-10-20,Miranda!,68,123.93
2025-10-27,CA7RIEL & Paco Amoroso,28,43.39
2025-11-03,ROSALÍA,84,208.91
2025-11-10,ROSALÍA,57,155.96
2025-11-17,ROSALÍA,20,35.12
2025-11-24,Mac DeMarco,46,142.18
2025-12-01,Los Besos,15,37.38
2025-12-08,Astro,39,119.52
2025-12-15,Led Zeppelin,26,58.81
2025-12-22,Devendra Banhart,13,40.37
2025-12-29,Devendra Banhart,23,52.15
2026-01-05,Intoxicados,10,40.71
2026-01-12,Juana Aguirre,37,88.38
2026-01-19,Juana Molina,13,51.25
2026-01-26,Milo j,12,31.62
2026-02-02,Milo j,7,14.79
2026-02-09,Bad Bunny,20,52.63
2026-02-16,Phoebe Bridgers,16,55.52
2026-02-23,Adrián Berra,30,73.33
2026-03-02,Bad Bunny,18,1.5
2026-03-09,Adrián Berra,6,3.79
2026-03-16,CA7RIEL & Paco Amoroso,17,0.21
2026-03-23,Aretha Franklin,29,80.01
2026-03-30,Milo j,53,155.23
2026-04-06,Juana Aguirre,26,79.17
2026-04-13,Lucy Patané,47,119.49
2026-04-20,Mac DeMarco,170,514.57
2026-04-27,Frank Ocean,83,226.88
2026-05-04,Mac DeMarco,33,80.71
2026-05-11,Mac DeMarco,4,4.2
2026-05-18,Usted Señalemelo,44,128.8
2026-05-25,Lucy Patané,22,53.55
2026-06-01,Patricio Rey y sus Redonditos de Ricota,29,82.54
2026-06-08,Patricio Rey y sus Redonditos de Ricota,37,134.47
2026-06-15,El Kuelgue,63,150.32
2026-06-22,Indio Solari,25,78.68
2026-06-29,The Strokes,20,55.61
2026-07-06,Patricio Rey y sus Redonditos de Ricota,89,300.12
2026-07-13,Patricio Rey y sus Redonditos de Ricota,29,88.73
2026-07-20,Charly García,21,53.47
2026-07-27,The Strokes,38,172.11
2026-08-03,Charli xcx,60,117.11
2026-08-10,Charli xcx,48,114.22
2026-08-17,Taylor Swift,7,21.46
